,0,1,2,3,4,5,6
184,grass,plains,savanna,,,,
185,grass,plains,savanna,,,,
186,grass,plains,savanna,,,,
187,grass,plains,savanna,,,,
188,grass,plains,savanna,,,,
189,grass,plains,savanna,,,,
190,grass,,,,,,
191,grass,,,,,,
192,grass,,,,,,
193,grass,,,,,,
194,,,,,,,
195,,,,,,,
196,,,,,,,
197,,,,,,,
198,,,,,,,
199,savanna,clouds,,,,,
200,savanna,clouds,,,,,
201,savanna,clouds,,,,,
202,savanna,clouds,,,,,
203,rainforest,tree,branches,leaves,,,
204,stick,branch,,,,,
205,stick,branch,,,,,
206,leaf,branch,forest,,,,
207,rainforest,,,,,,
208,rainforest,,,,,,
209,bark,tree,,,,,
210,,,,,,,
211,food,bark,,,,,
212,rainforest,,,,,,
213,rainforest,,,,,,
214,rainforest,,,,,,
215,rainforest,,,,,,
216,rainforest,,,,,,
217,rainforest,,,,,,
218,leaf,rainforest,,,,,
219,rainforest,,,,,,
220,rainforest,,,,,,
221,rainforest,,,,,,
222,rainforest,,,,,,
223,rainforest,,,,,,
224,stick,leaf,rainforest,,,,
225,stick,leaf,rainforest,,,,
226,leaf,rainforest,,,,,
227,branch,leaf,rainforest,,,,
228,branch,leaf,rainforest,,,,
229,branch,leaf,rainforest,,,,
230,branch,leaf,rainforest,,,,
231,branch,leaf,rainforest,,,,
232,branch,leaf,rainforest,,,,
233,branch,leaf,rainforest,,,,
234,branch,leaf,rainforest,,,,
235,rainforest,,,,,,
236,rainforest,,,,,,
237,rainforest,leaf,,,,,
238,rainforest,,,,,,
239,branch,leaf,rainforest,,,,
240,rainforest,,,,,,
241,rainforest,,,,,,
242,rainforest,,,,,,
243,rainforest,,,,,,
244,,,,,,,
245,leaf,rainforest,,,,,
246,leaf,rainforest,,,,,
247,leaf,rainforest,,,,,
248,,,,,,,
249,,,,,,,
250,spiderweb,rainforest,,,,,
251,spiderweb,rainforest,,,,,
252,spiderweb,rainforest,,,,,
253,spiderweb,rainforest,,,,,
254,spiderweb,rainforest,,,,,
255,mountains,snow,rock,,,,
256,mountains,snow,rock,,,,
257,mountains,snow,rock,,,,
258,mountains,snow,rock,,,,
259,mountains,snow,rock,,,,
260,mountains,snow,rock,,,,
261,mountains,snow,rock,,,,
262,mountains,snow,rock,,,,
263,mountains,snow,rock,water,arctic,icebergs,
264,mountains,snow,rock,water,arctic,icebergs,
265,mountains,snow,rock,water,arctic,icebergs,
266,mountains,snow,rock,water,arctic,icebergs,
267,mountains,snow,rock,water,arctic,icebergs,
268,mountains,snow,rock,water,arctic,icebergs,
269,mountains,snow,rock,water,arctic,icebergs,
270,water,ice,ocean,,,,
271,water,ice,ocean,,,,
272,water,ice,ocean,,,,
273,water,ice,ocean,,,,
274,iceberg,water,ocean,mountains,snow,ice,
275,iceberg,water,ocean,mountains,snow,ice,
276,iceberg,water,ocean,mountains,snow,ice,
277,snow,ice,iceberg,,,,
278,snow,ice,iceberg,,,,
279,snow,ice,iceberg,,,,
280,snow,ice,iceberg,,,,
281,snow,ice,iceberg,,,,
282,snow,ice,iceberg,,,,
283,snow,ice,iceberg,,,,
284,ice,snow,iceberg,water,ocean,,
285,ice,snow,iceberg,water,ocean,,
286,ice,water,iceberg,,,,
287,ice,water,iceberg,underwater,,,
288,ice,water,iceberg,,,,
289,ice,water,iceberg,underwater,,,
290,water,ocean,ice,underwater,,,
291,water,ocean,ice,underwater,,,
292,water,ocean,ice,underwater,,,
293,water,,,,,,
294,water,,,,,,
295,water,,,,,,
296,water,,,,,,
297,water,iceberg,,,,,
298,water,iceberg,,,,,
299,iceberg,,,,,,
300,water,,,,,,
301,iceberg,,,,,,
302,water,,,,,,
303,water,,,,,,
304,water,ocean,ice,icebergs,,,
305,water,ocean,ice,icebergs,,,
306,water,ocean,,,,,
307,water,ocean,,,,,
308,water,,,,,,
309,water,ocean,ice,icebergs,,,
310,water,,,,,,
311,water,,,,,,
312,water,ocean,ice,icebergs,,,
313,water,ocean,ice,icebergs,,,
314,water,ocean,ice,icebergs,,,
315,water,ocean,ice,icebergs,,,
316,water,ocean,ice,icebergs,,,
317,water,,,,,,
318,water,iceberg,,,,,
319,water,iceberg,,,,,
320,underwater,water,,,,,
321,water,iceberg,,,,,
322,water,iceberg,,,,,
323,water,iceberg,ice,,,,
324,water,,,,,,
325,water,,,,,,
326,water,iceberg,,,,,
327,water,iceberg,,,,,
328,underwater,,,,,,
329,water,ocean,iceberg,,,,
330,underwater,bubbles,,,,,
331,water,ocean,iceberg,wave,,,
332,water,ocean,iceberg,,,,
333,underwater,bubbles,,,,,
334,water,ocean,iceberg,,,,
335,water,ocean,iceberg,,,,
336,water,ocean,iceberg,,,,
337,water,ocean,iceberg,,,,
338,water,ocean,iceberg,,,,
339,water,ocean,iceberg,,,,
340,water,ocean,iceberg,,,,
