,0,1,2
792,,,
793,,,
794,chewing,,
795,chewing,,
796,chewing,,
797,,,
798,,,
799,chewing,,
800,,,
801,,,
802,,,
803,carrying,,
804,carrying,,
805,carrying,,
806,carrying,,
807,carrying,,
808,carrying,,
809,,,
810,,,
811,,,
812,carrying,,
813,,,
814,,,
815,,,
816,,,
817,,,
818,,,
819,,,
820,,,
821,,,
822,,,
823,,,
824,,,
825,,,
826,,,
827,,,
828,,,
829,,,
830,,,
831,,,
832,,,
833,,,
834,eating,chewing,
835,eating,chewing,
836,eating,chewing,
837,eating,chewing,
838,eating,chewing,
839,,,
840,,,
841,,,
842,,,
843,,,
844,dropping,,
845,dropping,,
846,,,
847,dropping,,
848,dropping,,
849,dropping,,
850,,,
851,,,
852,dropping,,
853,dropping,,
854,,,
855,,,
856,,,
857,eating,chewing,
858,,,
859,,,
860,,,
861,,,
862,,,
863,,,
864,,,
865,,,
866,,,
867,,,
868,,,
869,,,
870,,,
871,,,
872,,,
873,,,
874,,,
875,,,
876,,,
877,eating,,
878,eating,,
879,eating,,
880,eating,,
881,eating,,
882,,,
883,,,
884,,,
885,eating,,
886,eating,,
887,eating,,
888,eating,,
889,eating,,
890,struggling,,
891,struggling,,
892,struggling,,
893,struggling,,
894,struggling,,
895,struggling,,
896,struggling,,
897,struggling,,
898,eating,,
899,struggling,,
900,struggling,,
901,struggling,,
902,struggling,,
903,,,
904,,,
905,,,
906,,,
907,,,
908,,,
909,,,
910,,,
911,,,
912,,,
913,,,
914,,,
915,,,
916,,,
917,,,
918,,,
919,,,
920,,,
921,,,
922,,,
923,,,
924,,,
925,,,
926,,,
927,,,
928,,,
929,,,
930,,,
931,,,
932,,,
933,,,
934,,,
935,,,
936,,,
937,,,
938,,,
939,,,
940,,,
941,,,
942,,,
943,,,
944,,,
945,growing,,
946,growing,,
947,growing,,
948,growing,,
949,growing,,
950,growing,,
951,growing,,
952,growing,,
953,growing,,
954,growing,,
955,growing,,
956,growing,,
957,,,
958,,,
959,,,
960,,,
961,,,
962,,,
963,,,
964,,,
965,,,
966,,,
967,,,
968,flying,,
969,flying,,
970,,,
971,,,
972,,,
973,,,
974,,,
975,,,
976,,,
977,,,
978,,,
979,,,
980,,,
981,,,
982,fighting,,
983,fighting,,
984,fighting,,
985,fighting,,
986,fighting,,
987,fighting,,
988,fighting,,
