,0,1,2,3,4,5
969,leaf,plant,,,,
970,tree,,,,,
971,tree,,,,,
972,tree,,,,,
973,tree,,,,,
974,tree,,,,,
975,tree,,,,,
976,tree,,,,,
977,tree,,,,,
978,tree,,,,,
979,tree,,,,,
980,tree,,,,,
981,tree,,,,,
982,tree,,,,,
983,tree,,,,,
984,tree,,,,,
985,tree,,,,,
986,tree,,,,,
987,tree,,,,,
988,tree,,,,,
989,tree,,,,,
990,tree,,,,,
991,tree,,,,,
992,tree,,,,,
993,tree,,,,,
994,sun,,,,,
995,tree,tree,,,,
996,tree,tree,,,,
997,tree,tree,,,,
998,tree,tree,,,,
999,tree,tree,,,,
1000,tree,tree,,,,
1001,lagoon,trees,,,,
1002,lagoon,trees,,,,
1003,mud,water,,,,
1004,mud,water,,,,
1005,mud,lagoon,,,,
1006,mud,lagoon,,,,
1007,mud,lagoon,,,,
1008,mud,lagoon,,,,
1009,mud,lagoon,,,,
1010,mud,lagoon,,,,
1011,mud,lagoon,,,,
1012,mud,lagoon,,,,
1013,mud,lagoon,,,,
1014,mud,lagoon,tree,,,
1015,mud,lagoon,tree,,,
1016,mud,lagoon,tree,,,
1017,river,,,,,
1018,river,,,,,
1019,river,,,,,
1020,river,,,,,
1021,river,,,,,
1022,river,,,,,
1023,river,,,,,
1024,river,water,,,,
1025,river,water,,,,
1026,river,water,,,,
1027,river,water,,,,
1028,river,water,,,,
1029,river,water,,,,
1030,river,water,,,,
1031,river,water,,,,
1032,,,,,,
1033,,,,,,
1034,river,water,,,,
1035,river,water,,,,
1036,river,water,,,,
1037,river,water,,,,
1038,river,water,shore,,,
1039,river,water,shore,,,
1040,river,water,shore,,,
1041,river,water,,,,
1042,river,water,,,,
1043,river,water,,,,
1044,river,water,,,,
1045,river,water,,,,
1046,river,water,,,,
1047,river,water,,,,
1048,river,water,,,,
1049,river,water,,,,
1050,river,water,,,,
1051,river,water,,,,
1052,river,water,,,,
1053,river,water,,,,
1054,river,water,,,,
1055,river,water,,,,
1056,river,water,,,,
1057,river,water,,,,
1058,river,water,,,,
1059,river,water,,,,
1060,river,water,,,,
1061,river,water,,,,
1062,,,,,,
1063,,,,,,
1064,river,water,shore,,,
1065,river,water,shore,,,
1066,river,water,shore,,,
1067,river,water,shore,,,
1068,river,water,shore,,,
1069,river,water,,,,
1070,river,water,,,,
1071,river,water,,,,
1072,river,water,,,,
1073,river,water,,,,
1074,river,land,,,,
1075,river,land,,,,
1076,river,land,,,,
1077,river,land,,,,
1078,river,land,,,,
1079,river,land,,,,
1080,river,land,,,,
1081,river,land,,,,
1082,,,,,,
1083,,,,,,
1084,,,,,,
1085,,,,,,
1086,,,,,,
1087,,,,,,
1088,,,,,,
1089,water,,,,,
1090,water,,,,,
1091,,,,,,
1092,,,,,,
1093,,,,,,
1094,,,,,,
1095,,,,,,
1096,water,,,,,
1097,water,,,,,
1098,water,,,,,
1099,water,,,,,
1100,,,,,,
1101,,,,,,
1102,,,,,,
1103,,,,,,
1104,,,,,,
1105,,,,,,
1106,,,,,,
1107,,,,,,
1108,,,,,,
1109,water,,,,,
1110,,,,,,
1111,,,,,,
1112,,,,,,
1113,dance,water,,,,
1114,dance,water,,,,
1115,dance,water,,,,
1116,dance,water,,,,
1117,dance,water,,,,
1118,dance,water,,,,
1119,dance,water,,,,
1120,dance,water,,,,
1121,dance,water,,,,
1122,dance,water,,,,
1123,dance,water,,,,
1124,dance,water,,,,
1125,dance,water,,,,
1126,dance,water,,,,
1127,dance,water,,,,
1128,dance,water,,,,
1129,dance,water,,,,
1130,dance,water,,,,
1131,dance,water,,,,
1132,dance,water,,,,
1133,ocean,water,,,,
1134,ocean,water,,,,
1135,ocean,water,,,,
1136,ocean,water,,,,
1137,ocean,water,,,,
1138,ocean,water,,,,
1139,ocean,water,,,,
1140,ocean,,,,,
1141,ocean,,,,,
1142,ocean,water,,,,
1143,ocean,,,,,
1144,ocean,rock,,,,
1145,ocean,rock,,,,
1146,ocean,rocks,,,,
1147,ocean,rocks,,,,
1148,ocean,rocks,,,,
1149,ocean,rocks,,,,
1150,ocean,rock,,,,
1151,ocean,rocks,,,,
1152,ocean,rocks,,,,
1153,ocean,rocks,,,,
1154,ocean,rocks,,,,
1155,ocean,rocks,,,,
1156,ocean,rocks,,,,
1157,ocean,water,,,,
1158,ocean,water,,,,
1159,ocean,den,rock,,,
1160,ocean,den,rock,,,
1161,ocean,den,rock,,,
1162,ocean,den,rock,,,
1163,ocean,den,rock,,,
1164,ocean,den,rock,,,
1165,ocean,den,rock,,,
1166,ocean,den,rock,,,
1167,ocean,den,rock,,,
1168,ocean,den,rock,,,
1169,ocean,den,rock,,,
1170,ocean,den,rock,,,
1171,ocean,den,rock,,,
1172,ocean,den,rock,,,
1173,ocean,den,rock,,,
1174,ocean,den,rock,,,
1175,ocean,den,rock,,,
1176,ocean,den,rock,,,
1177,ocean,den,rock,,,
1178,ocean,,,,,
1179,ocean,,,,,
1180,ocean,den,rock,,,
1181,ocean,,,,,
1182,ocean,,,,,
1183,ocean,,,,,
1184,ocean,,,,,
1185,ocean,,,,,
1186,ocean,,,,,
1187,ocean,,,,,
1188,ocean,,,,,
1189,ocean,,,,,
1190,ocean,,,,,
1191,ocean,,,,,
1192,ocean,,,,,
1193,ocean,,,,,
1194,ocean,,,,,
1195,ocean,den,rock,,,
1196,ocean,den,rock,,,
1197,ocean,den,rock,,,
1198,ocean,,,,,
1199,ocean,,,,,
1200,ocean,,,,,
1201,trees,forest,,,,
1202,trees,forest,,,,
1203,trees,forest,,,,
1204,trees,forest,,,,
1205,trees,forest,,,,
1206,trees,forest,,,,
1207,leaves,sticks,,,,
1208,leaves,sticks,,,,
1209,leaves,sticks,,,,
1210,leaves,sticks,,,,
1211,leaves,,,,,
1212,leaves,,,,,
1213,,,,,,
1214,,,,,,
1215,,,,,,
1216,,,,,,
1217,water,,,,,
1218,water,,,,,
1219,water,,,,,
1220,water,,,,,
1221,,,,,,
1222,sun,forest,trees,leaves,,
1223,sun,forest,trees,leaves,,
1224,sun,forest,trees,leaves,,
1225,,,,,,
