,0,1,2,3
451,tiger,,,
452,deer,,,
453,tiger,,,
454,tiger,,,
455,tiger,,,
456,tiger,,,
457,deer,,,
458,tiger,,,
459,deer,,,
460,deer,,,
461,deer,,,
462,tiger,,,
463,tiger,,,
464,tiger,,,
465,tiger,,,
466,,,,
467,,,,
468,,,,
469,,,,
470,squirrel,,,
471,squirrel,,,
472,squirrel,,,
473,squirrel,,,
474,squirrel,,,
475,squirrel,,,
476,squirrel,,,
477,squirrel,,,
478,squirrel,,,
479,squirrel,,,
480,squirrel,,,
481,squirrel,,,
482,squirrel,,,
483,squirrel,,,
484,squirrel,,,
485,squirrel,,,
486,squirrels,,,
487,,,,
488,,,,
489,squirrels,,,
490,squirrels,,,
491,squirrel,,,
492,squirrel,,,
493,rattlesnake,tongue,,
494,rattlesnake,tongue,,
495,squirrels,,,
496,squirrel,head,,
497,squirrel,,,
498,rattlesnake,,,
499,squirrel,,,
500,squirrel,tail,,
501,squirrel,tail,,
502,squirrel,rattlesnake,,
503,squirrel,rattlesnake,,
504,squirrel,rattlesnake,,
505,squirrel,tail,rattlesnake,
506,rattlesnake,,,
507,squirrel,,,
508,rattlesnake,,,
509,squirrel,tail,,
510,squirrel,tail,,
511,squirrels,,,
512,squirrel,tail,,
513,rattlesnake,,,
514,squirrel,tail,,
515,squirrel,tail,,
516,squirrel,tail,,
517,squirrel,tail,,
518,rattlesnake,tongue,,
519,rattlesnake,tongue,,
520,squirrel,tail,,
521,squirrel,tail,,
522,rattlesnake,tongue,,
523,squirrel,tail,rattlesnake,
524,squirrel,tail,rattlesnake,
525,rattlesnake,,,
526,rattlesnake,,,
527,squirrel,young,,
528,squirrel,young,,
529,squirrel,young,,
530,squirrel,young,,
531,squirrel,young,,
532,squirrel,young,,
533,,,,
534,,,,
535,,,,
536,,,,
537,,,,
538,,,,
539,,,,
540,,,,
541,,,,
542,,,,
543,,,,
544,bird,,,
545,bird,,,
546,bird,,,
547,bird,,,
548,bird,,,
549,penguin,,,
550,penguins,,,
551,penguins,,,
552,seals,,,
553,seal,head,,
554,seal,head,,
555,seals,bird,,
556,seals,bird,,
557,seal,,,
558,seal,,,
559,seal,,,
560,seal,,,
561,seal,,,
562,seal,,,
563,,,,
