encoding performance (r)	ROI	subject	hemisphere	features	run
0.02916471602349777	V1	sub-rid000001	rh	bg	2
0.03079826757675619	FFC	sub-rid000001	rh	bg	2
0.06312428277930902	PHG	sub-rid000001	rh	bg	2
0.042262824863915915	LOC	sub-rid000001	rh	bg	2
0.03136235592356238	pSTS	sub-rid000001	rh	bg	2
0.08207248883766376	PPC	sub-rid000001	rh	bg	2
0.046785788701929544	TPJ	sub-rid000001	rh	bg	2
0.02660596925879362	AIP	sub-rid000001	rh	bg	2
0.005452594420094212	SM	sub-rid000001	rh	bg	2
0.0548256644485187	vPM	sub-rid000001	rh	bg	2
0.01834323409319513	V1	sub-rid000001	rh	agents	2
0.13418118415782893	FFC	sub-rid000001	rh	agents	2
0.02968572912260938	PHG	sub-rid000001	rh	agents	2
0.08661548863414766	LOC	sub-rid000001	rh	agents	2
0.0732418953957099	pSTS	sub-rid000001	rh	agents	2
0.031021319154586474	PPC	sub-rid000001	rh	agents	2
0.007682613762548996	TPJ	sub-rid000001	rh	agents	2
0.015368883975060817	AIP	sub-rid000001	rh	agents	2
0.003060884725334857	SM	sub-rid000001	rh	agents	2
0.012844726246997647	vPM	sub-rid000001	rh	agents	2
-0.004892768245132007	V1	sub-rid000001	rh	actions	2
0.050942695326349555	FFC	sub-rid000001	rh	actions	2
0.10575664205243811	PHG	sub-rid000001	rh	actions	2
0.07975167947502855	LOC	sub-rid000001	rh	actions	2
0.06880693207550351	pSTS	sub-rid000001	rh	actions	2
0.03515204967310031	PPC	sub-rid000001	rh	actions	2
0.009874052203870878	TPJ	sub-rid000001	rh	actions	2
0.06688446943995527	AIP	sub-rid000001	rh	actions	2
0.008936225069813309	SM	sub-rid000001	rh	actions	2
0.035294304186482994	vPM	sub-rid000001	rh	actions	2
0.05152400570506039	V1	sub-rid000001	rh	moten	2
0.011385394894919696	FFC	sub-rid000001	rh	moten	2
0.028486604588833335	PHG	sub-rid000001	rh	moten	2
0.0012495005145155883	LOC	sub-rid000001	rh	moten	2
-0.005177137869586226	pSTS	sub-rid000001	rh	moten	2
0.06920322329470315	PPC	sub-rid000001	rh	moten	2
-0.0015170767267686574	TPJ	sub-rid000001	rh	moten	2
0.020718089378345426	AIP	sub-rid000001	rh	moten	2
0.018248138774511636	SM	sub-rid000001	rh	moten	2
-0.030333578296101102	vPM	sub-rid000001	rh	moten	2
0.031723051566011885	V1	sub-rid000001	rh	bg	3
0.08871309762883227	FFC	sub-rid000001	rh	bg	3
0.051464476068020515	PHG	sub-rid000001	rh	bg	3
0.03437970265931117	LOC	sub-rid000001	rh	bg	3
0.02442576701898996	pSTS	sub-rid000001	rh	bg	3
0.027752416281822147	PPC	sub-rid000001	rh	bg	3
0.018419805086396172	TPJ	sub-rid000001	rh	bg	3
0.007811883059311717	AIP	sub-rid000001	rh	bg	3
0.00011733259041393799	SM	sub-rid000001	rh	bg	3
0.017852774495749835	vPM	sub-rid000001	rh	bg	3
-0.014323754488168517	V1	sub-rid000001	rh	agents	3
0.11626871432807613	FFC	sub-rid000001	rh	agents	3
0.03237680808541721	PHG	sub-rid000001	rh	agents	3
0.2061848451679756	LOC	sub-rid000001	rh	agents	3
0.1249889825892982	pSTS	sub-rid000001	rh	agents	3
-0.019927092420652794	PPC	sub-rid000001	rh	agents	3
0.01726879971407512	TPJ	sub-rid000001	rh	agents	3
-0.0027361968465939445	AIP	sub-rid000001	rh	agents	3
0.0026896911781997394	SM	sub-rid000001	rh	agents	3
0.024987919131365426	vPM	sub-rid000001	rh	agents	3
-0.03795459015480971	V1	sub-rid000001	rh	actions	3
0.014776167225785944	FFC	sub-rid000001	rh	actions	3
0.016715052352168747	PHG	sub-rid000001	rh	actions	3
0.10811850964768596	LOC	sub-rid000001	rh	actions	3
0.052585798993730726	pSTS	sub-rid000001	rh	actions	3
0.01881149641304004	PPC	sub-rid000001	rh	actions	3
0.023331714168690385	TPJ	sub-rid000001	rh	actions	3
0.1059049736180809	AIP	sub-rid000001	rh	actions	3
0.05512775370386924	SM	sub-rid000001	rh	actions	3
0.02321528811946052	vPM	sub-rid000001	rh	actions	3
0.12941889747074353	V1	sub-rid000001	rh	moten	3
0.03198741340163126	FFC	sub-rid000001	rh	moten	3
0.0379233646163972	PHG	sub-rid000001	rh	moten	3
0.0353725109182914	LOC	sub-rid000001	rh	moten	3
-0.02212915822014948	pSTS	sub-rid000001	rh	moten	3
0.05210432687214566	PPC	sub-rid000001	rh	moten	3
0.01147341873641054	TPJ	sub-rid000001	rh	moten	3
0.01604909122326352	AIP	sub-rid000001	rh	moten	3
0.008656697785077874	SM	sub-rid000001	rh	moten	3
-0.008594101367038618	vPM	sub-rid000001	rh	moten	3
0.03479904933239557	V1	sub-rid000001	rh	bg	4
0.06452067998247912	FFC	sub-rid000001	rh	bg	4
0.03738484976544415	PHG	sub-rid000001	rh	bg	4
0.05317430463576323	LOC	sub-rid000001	rh	bg	4
0.022974038841886563	pSTS	sub-rid000001	rh	bg	4
0.050493985819107044	PPC	sub-rid000001	rh	bg	4
0.0016479899694826182	TPJ	sub-rid000001	rh	bg	4
0.025567419263050152	AIP	sub-rid000001	rh	bg	4
0.011666197341936874	SM	sub-rid000001	rh	bg	4
-0.007569668901066824	vPM	sub-rid000001	rh	bg	4
0.0043005471072744125	V1	sub-rid000001	rh	agents	4
0.1649911094786408	FFC	sub-rid000001	rh	agents	4
-0.01888904286775762	PHG	sub-rid000001	rh	agents	4
0.13761295989587566	LOC	sub-rid000001	rh	agents	4
0.10188058378038159	pSTS	sub-rid000001	rh	agents	4
0.025458293907418425	PPC	sub-rid000001	rh	agents	4
0.03466672004427727	TPJ	sub-rid000001	rh	agents	4
0.016418158973563895	AIP	sub-rid000001	rh	agents	4
0.011112276487506071	SM	sub-rid000001	rh	agents	4
0.021022601425332153	vPM	sub-rid000001	rh	agents	4
0.009707835375593277	V1	sub-rid000001	rh	actions	4
0.10055695178120264	FFC	sub-rid000001	rh	actions	4
0.03716074465123444	PHG	sub-rid000001	rh	actions	4
0.1004952575752996	LOC	sub-rid000001	rh	actions	4
0.07669276454135321	pSTS	sub-rid000001	rh	actions	4
-0.014463294808563365	PPC	sub-rid000001	rh	actions	4
0.01600285646285391	TPJ	sub-rid000001	rh	actions	4
0.06026131606844757	AIP	sub-rid000001	rh	actions	4
0.0136753413638015	SM	sub-rid000001	rh	actions	4
0.035616140475732284	vPM	sub-rid000001	rh	actions	4
0.07318729275379218	V1	sub-rid000001	rh	moten	4
0.043893441558403926	FFC	sub-rid000001	rh	moten	4
0.030805431511672556	PHG	sub-rid000001	rh	moten	4
0.032312729124140696	LOC	sub-rid000001	rh	moten	4
0.008671345361064942	pSTS	sub-rid000001	rh	moten	4
0.06449553700883963	PPC	sub-rid000001	rh	moten	4
0.021577073333870517	TPJ	sub-rid000001	rh	moten	4
0.02903024323742262	AIP	sub-rid000001	rh	moten	4
-0.0033341992458198653	SM	sub-rid000001	rh	moten	4
0.010152426528771049	vPM	sub-rid000001	rh	moten	4
0.04661327615019903	V1	sub-rid000005	lh	bg	1
0.07883436392434429	FFC	sub-rid000005	lh	bg	1
0.03746510481111424	PHG	sub-rid000005	lh	bg	1
0.033158645360600675	LOC	sub-rid000005	lh	bg	1
-0.016499992590261147	pSTS	sub-rid000005	lh	bg	1
0.07678328353242189	PPC	sub-rid000005	lh	bg	1
0.023236888900992	TPJ	sub-rid000005	lh	bg	1
-0.038258206160517234	AIP	sub-rid000005	lh	bg	1
-0.013553751254447029	SM	sub-rid000005	lh	bg	1
-0.0056115147601217144	vPM	sub-rid000005	lh	bg	1
-0.015614259367929213	V1	sub-rid000005	lh	agents	1
0.13547318670362313	FFC	sub-rid000005	lh	agents	1
0.030359978838936916	PHG	sub-rid000005	lh	agents	1
0.11552414581368582	LOC	sub-rid000005	lh	agents	1
0.044154872312090095	pSTS	sub-rid000005	lh	agents	1
0.03090790693835489	PPC	sub-rid000005	lh	agents	1
0.04211837294932189	TPJ	sub-rid000005	lh	agents	1
0.015217732842023338	AIP	sub-rid000005	lh	agents	1
0.002237140602110617	SM	sub-rid000005	lh	agents	1
0.015400984181888773	vPM	sub-rid000005	lh	agents	1
-0.0032904241832278323	V1	sub-rid000005	lh	actions	1
0.05363087563261058	FFC	sub-rid000005	lh	actions	1
0.050999983584848384	PHG	sub-rid000005	lh	actions	1
0.12191560389849432	LOC	sub-rid000005	lh	actions	1
0.057108570408782484	pSTS	sub-rid000005	lh	actions	1
0.01997540248597179	PPC	sub-rid000005	lh	actions	1
0.026284753237174326	TPJ	sub-rid000005	lh	actions	1
0.11147905189177956	AIP	sub-rid000005	lh	actions	1
0.039031730249632905	SM	sub-rid000005	lh	actions	1
0.08519935888737867	vPM	sub-rid000005	lh	actions	1
0.04201005250518707	V1	sub-rid000005	lh	moten	1
-0.1010606839282393	FFC	sub-rid000005	lh	moten	1
0.013846309513778746	PHG	sub-rid000005	lh	moten	1
-0.03757295222749235	LOC	sub-rid000005	lh	moten	1
0.0041647325246770535	pSTS	sub-rid000005	lh	moten	1
0.03820054246822874	PPC	sub-rid000005	lh	moten	1
0.021578908995805855	TPJ	sub-rid000005	lh	moten	1
-0.0003441425546217962	AIP	sub-rid000005	lh	moten	1
0.02728409620607976	SM	sub-rid000005	lh	moten	1
-0.012026643389842884	vPM	sub-rid000005	lh	moten	1
0.05878857408706547	V1	sub-rid000005	lh	bg	2
0.03349675240834712	FFC	sub-rid000005	lh	bg	2
0.03541380875685718	PHG	sub-rid000005	lh	bg	2
0.020938487585495432	LOC	sub-rid000005	lh	bg	2
0.017318305832027852	pSTS	sub-rid000005	lh	bg	2
0.03864457952414698	PPC	sub-rid000005	lh	bg	2
0.03228496036071543	TPJ	sub-rid000005	lh	bg	2
0.038691852905199865	AIP	sub-rid000005	lh	bg	2
-0.0015884189223285947	SM	sub-rid000005	lh	bg	2
0.034041895589048396	vPM	sub-rid000005	lh	bg	2
-0.028813753904531395	V1	sub-rid000005	lh	agents	2
0.08193418407608988	FFC	sub-rid000005	lh	agents	2
0.028281292754332686	PHG	sub-rid000005	lh	agents	2
0.0671349157917417	LOC	sub-rid000005	lh	agents	2
0.02248839306569815	pSTS	sub-rid000005	lh	agents	2
-0.007514847874867532	PPC	sub-rid000005	lh	agents	2
0.015929513344772762	TPJ	sub-rid000005	lh	agents	2
0.0028247046241282655	AIP	sub-rid000005	lh	agents	2
0.002754328165780167	SM	sub-rid000005	lh	agents	2
0.014204271707941578	vPM	sub-rid000005	lh	agents	2
0.0025757211113154165	V1	sub-rid000005	lh	actions	2
0.06678905882244851	FFC	sub-rid000005	lh	actions	2
0.032504550934121385	PHG	sub-rid000005	lh	actions	2
0.07975198423986697	LOC	sub-rid000005	lh	actions	2
0.012740406837024704	pSTS	sub-rid000005	lh	actions	2
0.041521297737777185	PPC	sub-rid000005	lh	actions	2
7.141614031250041e-05	TPJ	sub-rid000005	lh	actions	2
0.10477194625599869	AIP	sub-rid000005	lh	actions	2
-0.00019624505837419055	SM	sub-rid000005	lh	actions	2
0.055772248121086575	vPM	sub-rid000005	lh	actions	2
0.01991262432164091	V1	sub-rid000005	lh	moten	2
0.04174719148690944	FFC	sub-rid000005	lh	moten	2
0.013773495871680131	PHG	sub-rid000005	lh	moten	2
-0.012257878257736119	LOC	sub-rid000005	lh	moten	2
-0.019051361301860158	pSTS	sub-rid000005	lh	moten	2
0.05452805725419878	PPC	sub-rid000005	lh	moten	2
0.00550024289214275	TPJ	sub-rid000005	lh	moten	2
-0.016739565746824545	AIP	sub-rid000005	lh	moten	2
-0.012379831096666941	SM	sub-rid000005	lh	moten	2
-0.0416037047695205	vPM	sub-rid000005	lh	moten	2
0.010854059000599712	V1	sub-rid000005	lh	bg	3
0.07953300102429796	FFC	sub-rid000005	lh	bg	3
0.03806258826624024	PHG	sub-rid000005	lh	bg	3
0.06760080332670718	LOC	sub-rid000005	lh	bg	3
0.034992908269458445	pSTS	sub-rid000005	lh	bg	3
0.0022071534200189613	PPC	sub-rid000005	lh	bg	3
0.009829837849052893	TPJ	sub-rid000005	lh	bg	3
0.0039697051871507415	AIP	sub-rid000005	lh	bg	3
-0.013885664933586134	SM	sub-rid000005	lh	bg	3
0.016672399222893763	vPM	sub-rid000005	lh	bg	3
-0.004389644808187651	V1	sub-rid000005	lh	agents	3
0.09669432757941626	FFC	sub-rid000005	lh	agents	3
0.024234086866710167	PHG	sub-rid000005	lh	agents	3
0.14731095993749635	LOC	sub-rid000005	lh	agents	3
0.0234820450158028	pSTS	sub-rid000005	lh	agents	3
0.02741645115734201	PPC	sub-rid000005	lh	agents	3
0.01670809801166124	TPJ	sub-rid000005	lh	agents	3
0.03284581956115026	AIP	sub-rid000005	lh	agents	3
0.017891557098107833	SM	sub-rid000005	lh	agents	3
0.014417613152701441	vPM	sub-rid000005	lh	agents	3
0.038015400319335854	V1	sub-rid000005	lh	actions	3
0.026158098621097796	FFC	sub-rid000005	lh	actions	3
-0.007496091976800353	PHG	sub-rid000005	lh	actions	3
0.028910749418337614	LOC	sub-rid000005	lh	actions	3
0.00480375633763376	pSTS	sub-rid000005	lh	actions	3
0.03687590144481628	PPC	sub-rid000005	lh	actions	3
0.005001809366092772	TPJ	sub-rid000005	lh	actions	3
0.06774655037186779	AIP	sub-rid000005	lh	actions	3
0.04755038461942937	SM	sub-rid000005	lh	actions	3
0.04047162459340013	vPM	sub-rid000005	lh	actions	3
0.08914905276332835	V1	sub-rid000005	lh	moten	3
0.02974188271867287	FFC	sub-rid000005	lh	moten	3
0.018076187076749867	PHG	sub-rid000005	lh	moten	3
0.0061913166048053305	LOC	sub-rid000005	lh	moten	3
0.002191264445371278	pSTS	sub-rid000005	lh	moten	3
0.03024357929635186	PPC	sub-rid000005	lh	moten	3
0.0106815645114562	TPJ	sub-rid000005	lh	moten	3
0.015123139237964378	AIP	sub-rid000005	lh	moten	3
0.007999290283362721	SM	sub-rid000005	lh	moten	3
0.008310984787524268	vPM	sub-rid000005	lh	moten	3
0.04364544792144141	V1	sub-rid000005	lh	bg	4
0.07057823543802527	FFC	sub-rid000005	lh	bg	4
0.028809537360993325	PHG	sub-rid000005	lh	bg	4
0.04649702156537097	LOC	sub-rid000005	lh	bg	4
0.00436899636135274	pSTS	sub-rid000005	lh	bg	4
0.05520247806063836	PPC	sub-rid000005	lh	bg	4
-0.012314017680264015	TPJ	sub-rid000005	lh	bg	4
-0.004172194079650085	AIP	sub-rid000005	lh	bg	4
0.0006207168847656	SM	sub-rid000005	lh	bg	4
-0.008851517868502664	vPM	sub-rid000005	lh	bg	4
-0.015755110308733666	V1	sub-rid000005	lh	agents	4
0.11784258509647218	FFC	sub-rid000005	lh	agents	4
-0.015589168416328094	PHG	sub-rid000005	lh	agents	4
0.10048084358129637	LOC	sub-rid000005	lh	agents	4
0.03479833511166333	pSTS	sub-rid000005	lh	agents	4
0.0014317190914033388	PPC	sub-rid000005	lh	agents	4
0.03643572022451128	TPJ	sub-rid000005	lh	agents	4
0.022807020815344865	AIP	sub-rid000005	lh	agents	4
0.010123169608940684	SM	sub-rid000005	lh	agents	4
0.008914498042230705	vPM	sub-rid000005	lh	agents	4
-0.008560109008804122	V1	sub-rid000005	lh	actions	4
0.0392878718402344	FFC	sub-rid000005	lh	actions	4
0.0356359431705355	PHG	sub-rid000005	lh	actions	4
0.12925722307894225	LOC	sub-rid000005	lh	actions	4
0.0409312576451293	pSTS	sub-rid000005	lh	actions	4
0.03034934122835406	PPC	sub-rid000005	lh	actions	4
0.01149370053377812	TPJ	sub-rid000005	lh	actions	4
0.10166983614084421	AIP	sub-rid000005	lh	actions	4
0.008213206202676585	SM	sub-rid000005	lh	actions	4
0.09091892950708003	vPM	sub-rid000005	lh	actions	4
0.10227289440988611	V1	sub-rid000005	lh	moten	4
0.05546668590551135	FFC	sub-rid000005	lh	moten	4
0.000142419996555637	PHG	sub-rid000005	lh	moten	4
0.05118242146285332	LOC	sub-rid000005	lh	moten	4
0.00732033404450145	pSTS	sub-rid000005	lh	moten	4
0.10006496393055947	PPC	sub-rid000005	lh	moten	4
